#,Associated Cell Fates,Steady State Probability,Cln3,MBF,SBF,Cln1-2,Cdh1,Swi5,Cdc20,Clb5-6,Sic1,Clb1-2,Mcm1
278,,5.4543e-09,0,0,1,0,0,0,1,0,1,0,1
279,,4.0219e-12,0,0,1,0,0,0,1,0,1,1,0
280,,1.0122e-10,0,0,1,0,0,0,1,0,1,1,1
281,,1.9987e-10,0,0,1,0,0,0,1,1,0,0,0
282,,5.9016e-11,0,0,1,0,0,0,1,1,0,0,1
283,,8.1207e-13,0,0,1,0,0,0,1,1,0,1,0
284,,1.3222e-08,0,0,1,0,0,0,1,1,0,1,1
285,,3.7576e-12,0,0,1,0,0,0,1,1,1,0,0
286,,2.4612e-13,0,0,1,0,0,0,1,1,1,0,1
287,,5.4055e-16,0,0,1,0,0,0,1,1,1,1,0
288,,4.5962e-14,0,0,1,0,0,0,1,1,1,1,1
289,,3.1495e-07,0,0,1,0,0,1,0,0,0,0,0
290,,5.4309e-10,0,0,1,0,0,1,0,0,0,0,1
291,,2.1385e-10,0,0,1,0,0,1,0,0,0,1,0
292,,5.0852e-12,0,0,1,0,0,1,0,0,0,1,1
293,,8.0336e-08,0,0,1,0,0,1,0,0,1,0,0
294,,9.7805e-11,0,0,1,0,0,1,0,0,1,0,1
295,,3.7101e-12,0,0,1,0,0,1,0,0,1,1,0
296,,4.3943e-12,0,0,1,0,0,1,0,0,1,1,1
297,,2.049e-10,0,0,1,0,0,1,0,1,0,0,0
298,,6.0073e-11,0,0,1,0,0,1,0,1,0,0,1
299,,2.2203e-13,0,0,1,0,0,1,0,1,0,1,0
300,,2.0332e-10,0,0,1,0,0,1,0,1,0,1,1
301,,3.728e-12,0,0,1,0,0,1,0,1,1,0,0
302,,7.8351e-15,0,0,1,0,0,1,0,1,1,0,1
303,,2.7123e-16,0,0,1,0,0,1,0,1,1,1,0
304,,4.6712e-15,0,0,1,0,0,1,0,1,1,1,1
305,,1.1704e-07,0,0,1,0,0,1,1,0,0,0,0
306,,4.8132e-11,0,0,1,0,0,1,1,0,0,0,1
307,,2.2739e-07,0,0,1,0,0,1,1,0,0,1,0
308,,9.6979e-08,0,0,1,0,0,1,1,0,0,1,1
309,,8.2193e-08,0,0,1,0,0,1,1,0,1,0,0
310,,9.6214e-08,0,0,1,0,0,1,1,0,1,0,1
311,,4.8603e-10,0,0,1,0,0,1,1,0,1,1,0
312,,9.6351e-08,0,0,1,0,0,1,1,0,1,1,1
313,,5.6897e-12,0,0,1,0,0,1,1,1,0,0,0
314,,6.4177e-13,0,0,1,0,0,1,1,1,0,0,1
315,,2.8819e-10,0,0,1,0,0,1,1,1,0,1,0
316,,6.9546e-08,0,0,1,0,0,1,1,1,0,1,1
317,,3.6134e-12,0,0,1,0,0,1,1,1,1,0,0
318,,1.5072e-13,0,0,1,0,0,1,1,1,1,0,1
319,,3.2347e-13,0,0,1,0,0,1,1,1,1,1,0
320,,1.7918e-11,0,0,1,0,0,1,1,1,1,1,1
321,,5.8667e-05,0,0,1,0,1,0,0,0,0,0,0
322,,5.8727e-08,0,0,1,0,1,0,0,0,0,0,1
323,,2.7234e-09,0,0,1,0,1,0,0,0,0,1,0
324,,2.7302e-12,0,0,1,0,1,0,0,0,0,1,1
325,,0.00053597,0,0,1,0,1,0,0,0,1,0,0
326,,5.365e-07,0,0,1,0,1,0,0,0,1,0,1
327,,1.0107e-11,0,0,1,0,1,0,0,0,1,1,0
328,,1.0125e-14,0,0,1,0,1,0,0,0,1,1,1
329,,5.8367e-08,0,0,1,0,1,0,0,1,0,0,0
330,,6.1066e-11,0,0,1,0,1,0,0,1,0,0,1
331,,2.7334e-12,0,0,1,0,1,0,0,1,0,1,0
332,,3.7712e-12,0,0,1,0,1,0,0,1,0,1,1
333,,2.4527e-08,0,0,1,0,1,0,0,1,1,0,0
334,,2.4552e-11,0,0,1,0,1,0,0,1,1,0,1
335,,5.6838e-15,0,0,1,0,1,0,0,1,1,1,0
336,,1.8038e-16,0,0,1,0,1,0,0,1,1,1,1
337,,5.8728e-08,0,0,1,0,1,0,1,0,0,0,0
338,,5.8938e-11,0,0,1,0,1,0,1,0,0,0,1
339,,2.7341e-12,0,0,1,0,1,0,1,0,0,1,0
340,,1.7847e-13,0,0,1,0,1,0,1,0,0,1,1
341,,5.3662e-07,0,0,1,0,1,0,1,0,1,0,0
342,,5.5673e-10,0,0,1,0,1,0,1,0,1,0,1
343,,1.6106e-14,0,0,1,0,1,0,1,0,1,1,0
344,,9.6949e-14,0,0,1,0,1,0,1,0,1,1,1
345,,5.8428e-11,0,0,1,0,1,0,1,1,0,0,0
346,,6.1149e-14,0,0,1,0,1,0,1,1,0,0,1
347,,2.7443e-15,0,0,1,0,1,0,1,1,0,1,0
348,,5.9368e-15,0,0,1,0,1,0,1,1,0,1,1
349,,2.4553e-11,0,0,1,0,1,0,1,1,1,0,0
350,,2.5188e-14,0,0,1,0,1,0,1,1,1,0,1
351,,6.0736e-18,0,0,1,0,1,0,1,1,1,1,0
352,,6.2626e-18,0,0,1,0,1,0,1,1,1,1,1
353,,5.9001e-08,0,0,1,0,1,1,0,0,0,0,0
354,,1.172e-10,0,0,1,0,1,1,0,0,0,0,1
355,,2.7396e-12,0,0,1,0,1,1,0,0,0,1,0
356,,5.7698e-15,0,0,1,0,1,1,0,0,0,1,1
357,,4.2679e-06,0,0,1,0,1,1,0,0,1,0,0
358,,4.3777e-09,0,0,1,0,1,1,0,0,1,0,1
359,,9.1277e-12,0,0,1,0,1,1,0,0,1,1,0
360,,1.6068e-14,0,0,1,0,1,1,0,0,1,1,1
361,,5.8439e-11,0,0,1,0,1,1,0,1,0,0,0
362,,2.1018e-13,0,0,1,0,1,1,0,1,0,0,1
363,,2.7444e-15,0,0,1,0,1,1,0,1,0,1,0
364,,3.921e-15,0,0,1,0,1,1,0,1,0,1,1
365,,3.8656e-11,0,0,1,0,1,1,0,1,1,0,0
366,,1.8786e-13,0,0,1,0,1,1,0,1,1,0,1
367,,4.1265e-16,0,0,1,0,1,1,0,1,1,1,0
368,,7.6712e-18,0,0,1,0,1,1,0,1,1,1,1
369,,5.8937e-08,0,0,1,0,1,1,1,0,0,0,0
370,,2.9851e-12,0,0,1,0,1,1,1,0,0,0,1
371,,1.7492e-10,0,0,1,0,1,1,1,0,0,1,0
372,,5.4164e-12,0,0,1,0,1,1,1,0,0,1,1
373,,2.734e-06,0,0,1,0,1,1,1,0,1,0,0
374,,3.2245e-10,0,0,1,0,1,1,1,0,1,0,1
375,,1.3222e-10,0,0,1,0,1,1,1,0,1,1,0
376,,9.6421e-11,0,0,1,0,1,1,1,0,1,1,1
377,,5.8513e-11,0,0,1,0,1,1,1,1,0,0,0
378,,2.9161e-15,0,0,1,0,1,1,1,1,0,0,1
