Attractor #,Associated Cell Fate,Steady State Probability,Cln3,MBF,SBF,Cln1-2,Cdh1,Swi5,Cdc20,Clb5-6,Sic1,Clb1-2,Mcm1,
313,,5.651e-12,0,0,1,0,0,1,1,1,0,0,0,
314,,6.3953e-13,0,0,1,0,0,1,1,1,0,0,1,
315,,2.8611e-10,0,0,1,0,0,1,1,1,0,1,0,
316,,6.9141e-08,0,0,1,0,0,1,1,1,0,1,1,
317,,3.567e-12,0,0,1,0,0,1,1,1,1,0,0,
318,,1.5026e-13,0,0,1,0,0,1,1,1,1,0,1,
319,,3.2042e-13,0,0,1,0,0,1,1,1,1,1,0,
320,,1.7844e-11,0,0,1,0,0,1,1,1,1,1,1,
321,,5.832e-05,0,0,1,0,1,0,0,0,0,0,0,
322,,5.838e-08,0,0,1,0,1,0,0,0,0,0,1,
323,,2.7065e-09,0,0,1,0,1,0,0,0,0,1,0,
324,,2.7131e-12,0,0,1,0,1,0,0,0,0,1,1,
325,,0.00053961,0,0,1,0,1,0,0,0,1,0,0,
326,,5.4015e-07,0,0,1,0,1,0,0,0,1,0,1,
327,,1.0035e-11,0,0,1,0,1,0,0,0,1,1,0,
328,,1.0053e-14,0,0,1,0,1,0,0,0,1,1,1,
329,,5.8015e-08,0,0,1,0,1,0,0,1,0,0,0,
330,,6.0698e-11,0,0,1,0,1,0,0,1,0,0,1,
331,,2.7164e-12,0,0,1,0,1,0,0,1,0,1,0,
332,,3.7234e-12,0,0,1,0,1,0,0,1,0,1,1,
333,,2.4692e-08,0,0,1,0,1,0,0,1,1,0,0,
334,,2.4717e-11,0,0,1,0,1,0,0,1,1,0,1,
335,,5.648e-15,0,0,1,0,1,0,0,1,1,1,0,
336,,1.7813e-16,0,0,1,0,1,0,0,1,1,1,1,
337,,5.8381e-08,0,0,1,0,1,0,1,0,0,0,0,
338,,5.8589e-11,0,0,1,0,1,0,1,0,0,0,1,
339,,2.7171e-12,0,0,1,0,1,0,1,0,0,1,0,
340,,1.7623e-13,0,0,1,0,1,0,1,0,0,1,1,
341,,5.4027e-07,0,0,1,0,1,0,1,0,1,0,0,
342,,5.6027e-10,0,0,1,0,1,0,1,0,1,0,1,
343,,1.6021e-14,0,0,1,0,1,0,1,0,1,1,0,
344,,9.657e-14,0,0,1,0,1,0,1,0,1,1,1,
345,,5.8076e-11,0,0,1,0,1,0,1,1,0,0,0,
346,,6.078e-14,0,0,1,0,1,0,1,1,0,0,1,
347,,2.7272e-15,0,0,1,0,1,0,1,1,0,1,0,
348,,5.8753e-15,0,0,1,0,1,0,1,1,0,1,1,
349,,2.4718e-11,0,0,1,0,1,0,1,1,1,0,0,
350,,2.5348e-14,0,0,1,0,1,0,1,1,1,0,1,
351,,6.0354e-18,0,0,1,0,1,0,1,1,1,1,0,
352,,6.2349e-18,0,0,1,0,1,0,1,1,1,1,1,
353,,5.8653e-08,0,0,1,0,1,1,0,0,0,0,0,
354,,1.1649e-10,0,0,1,0,1,1,0,0,0,0,1,
355,,2.7226e-12,0,0,1,0,1,1,0,0,0,1,0,
356,,5.7324e-15,0,0,1,0,1,1,0,0,0,1,1,
357,,4.2649e-06,0,0,1,0,1,1,0,0,1,0,0,
358,,4.3748e-09,0,0,1,0,1,1,0,0,1,0,1,
